month,day,black-four,green-four,black,green,yellow,blue
11,28,h,,hs,c,h,s
11,29,t,d,it,d,i,t
11,30,k,,ku,e,k,u
12,1,,,,,,
12,2,,,,,,
12,3,l,f,al,f,a,a
12,4,b,,bm,g,b,b
12,5,n,h,cn,h,c,c
12,6,d,,do,i,d,d
12,7,p,k,ep,k,e,e
12,8,,,,,,
12,9,,,,,,
12,10,q,a,fq,a,f,f
12,11,g,,gr,b,g,g
12,12,s,c,hs,c,h,h
12,13,i,,it,d,i,i
12,14,u,e,ku,e,k,k
12,15,,,,,,
12,16,,,,,,
12,17,a,,al,f,a,l
12,18,m,g,bm,g,b,m
12,19,c,,cn,h,c,n
12,20,o,i,do,i,d,o
12,21,e,,ep,k,e,p
12,22,,,,,,
12,23,,,,,,
12,24,f,,fq,a,f,q
12,25,,,,,,
12,26,,,,,,
12,27,r,b,gr,b,g,r
12,28,h,,hs,c,h,s
12,29,t,d,it,d,i,t
12,30,,,,,,
12,31,k,,ku,e,k,u
